		Height						Weight						FOC					
		Male			Female			Male			Female			Male			Female		
Minimum age (CDC)	Rounded age	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S	L	M	S
101.5	102	0.408427813	130.5285669	0.045528869	-0.010982868	130.1148354	0.04626824	-1.364042106	26.92273494	0.160141995	-1.061151213	27.1019295	0.177673124	1	50.7375	0.02946	1	49.9229	0.0285
102.5	103	0.404778262	130.9982857	0.045618459	0.002744306	130.5573839	0.046340046	-1.363457829	27.16489199	0.161025689	-1.047847141	27.38203422	0.178774242	1	50.7375	0.02946	1	49.9229	0.0285
103.5	104	0.402877077	131.4641218	0.045711105	0.016426655	130.995432	0.046416629	-1.361865669	27.40994539	0.161925976	-1.034620551	27.66593402	0.179869829	1	50.7375	0.02946	1	49.9229	0.0285
104.5	105	0.402625561	131.9260439	0.045806742	0.030052231	131.4292887	0.046498361	-1.35928261	27.65796978	0.162842452	-1.021502197	27.9536524	0.180958063	1	50.7375	0.02946	1	49.9229	0.0285
105.5	106	0.40391127	132.3840348	0.045905281	0.043619747	131.8593015	0.046585611	-1.355720571	27.90904433	0.163774719	-1.008521695	28.24520531	0.182037118	1	50.7375	0.02946	1	49.9229	0.0285
106.5	107	0.406609232	132.838092	0.046006604	0.05713988	132.2858574	0.046678741	-1.351202536	28.16324264	0.164722138	-0.995707494	28.54060085	0.183105172	1	50.7375	0.02946	1	49.9229	0.0285
107.5	108	0.410583274	133.2882291	0.046110573	0.070636605	132.7093845	0.046778099	-1.345754408	28.42063744	0.165683945	-0.983086844	28.83983907	0.18416041	1	50.7375	0.02946	1	49.9229	0.0285
108.5	109	0.415687443	133.7344759	0.046217028	0.08414848	133.1303527	0.04688401	-1.339405453	28.68130005	0.166659247	-0.970685789	29.14291171	0.185201039	1	50.7375	0.02946	1	49.9229	0.0285
109.5	110	0.421767514	134.1768801	0.04632579	0.097729873	133.5492749	0.046996769	-1.332188093	28.94530029	0.167647017	-0.958529157	29.44980208	0.186225287	1	50.7375	0.02946	1	49.9229	0.0285
110.5	111	0.428662551	134.6155076	0.046436662	0.111452039	133.9667073	0.047116633	-1.324137479	29.21270645	0.168646104	-0.946640568	29.76048479	0.187231416	1	50.7375	0.02946	1	49.9229	0.0285
111.5	112	0.436206531	135.0504433	0.04654943	0.125404005	134.3832499	0.047243801	-1.315291073	29.48358527	0.169655235	-0.935042447	30.0749257	0.188217723	1	50.7375	0.02946	1	49.9229	0.0285
112.5	113	0.44423	135.4817925	0.046663871	0.13969316	134.7995463	0.047378413	-1.30568824	29.75800198	0.170673022	-0.923756041	30.39308176	0.18918255	1	50.7375	0.02946	1	49.9229	0.0285
113.5	114	0.45256176	135.9096813	0.046779748	0.154445482	135.2162826	0.047520521	-1.295369867	30.03602021	0.17169797	-0.912801445	30.71490093	0.190124286	1	50.7375	0.02946	1	49.9229	0.0285
114.5	115	0.461030578	136.3342577	0.046896817	0.169805275	135.634186	0.047670085	-1.284374967	30.31770417	0.17272854	-0.902197638	31.0403221	0.191041375	1	50.7375	0.02946	1	49.9229	0.0285
115.5	116	0.469466904	136.7556923	0.047014827	0.185934346	136.0540223	0.047826946	-1.272750864	30.60311107	0.173762961	-0.891962513	31.36927506	0.191932319	1	50.7375	0.02946	1	49.9229	0.0285
116.5	117	0.477704608	137.1741794	0.047133525	0.203010488	136.4765925	0.04799081	-1.260539193	30.89230072	0.174799493	-0.882112919	31.7016805	0.192795682	1	50.7375	0.02946	1	49.9229	0.0285
117.5	118	0.48558272	137.5899378	0.047252654	0.2212252	136.9027281	0.048161228	-1.247783611	31.18532984	0.175836284	-0.872664706	32.03744999	0.193630095	1	50.7375	0.02946	1	49.9229	0.0285
118.5	119	0.492947182	138.0032114	0.047371961	0.240780542	137.3332846	0.04833757	-1.234527763	31.48225315	0.176871417	-0.863632768	32.37648607	0.19443426	1	50.7375	0.02946	1	49.9229	0.0285
119.5	120	0.499652617	138.4142703	0.047491194	0.261885086	137.7691339	0.048519011	-1.220815047	31.78312329	0.177902912	-0.855031092	32.71868225	0.195206948	1	50.7375	0.02946	1	49.9229	0.0285
